Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Warm Male,-0.001160,0.002907,-0.062003,0.036947,0.000075,0.000334,-0.000107,0.000401
Cold All,0.002849,0.003496,0.046655,0.025388,-0.000483,0.000446,-0.000075,0.000384
Cold Female,0.008479,0.004463,0.078973,0.032431,-0.000707,0.000570,0.000433,0.000491
Cold Male,-0.002042,0.003750,0.018826,0.027249,-0.000291,0.000480,-0.000514,0.000412
Age 0-10 All,0.000238,0.004156,-0.036711,0.040105,0.000983,0.000493,-0.000760,0.000523
Age 0-10 Female,-0.003651,0.005764,-0.069165,0.055726,0.001438,0.000683,-0.001253,0.000726
Age 0-10 Male,0.003034,0.005079,-0.013549,0.048940,0.000654,0.000603,-0.000407,0.000639
Age 11-60 All,0.000538,0.002233,0.008072,0.020956,-0.000179,0.000266,-0.000122,0.000278
Age 11-60 Female,0.002106,0.002987,0.030733,0.027839,-0.000616,0.000356,0.000036,0.000372
Age 11-60 Male,-0.000599,0.002504,-0.008362,0.023621,0.000131,0.000299,-0.000238,0.000312
Age 60+All,-0.003007,0.003469,-0.000192,0.032291,-0.000322,0.000410,-0.000515,0.000432
Age 60+ Female,0.000834,0.004125,0.012757,0.038237,0.000039,0.000488,-0.000267,0.000513
Age 60+ Male,-0.008922,0.004789,-0.020891,0.044883,-0.000871,0.000565,-0.000900,0.000598
All:LAG 13,-0.003382,0.002084,-0.024847,0.019490,-0.000176,0.000248,-0.000610,0.000259
Female,-0.003505,0.002605,-0.034159,0.024235,-0.000437,0.000308,-0.000754,0.000324
Male,-0.003283,0.002315,-0.017129,0.021734,0.000041,0.000276,-0.000492,0.000288
Warm All,-0.004960,0.002518,-0.111095,0.031545,0.000028,0.000290,-0.000850,0.000347
Warm Female,-0.007706,0.003028,-0.134053,0.037954,-0.000294,0.000347,-0.001281,0.000418
Warm Male,-0.002782,0.002927,-0.092924,0.036703,0.000288,0.000338,-0.000510,0.000402
Cold All,-0.001892,0.003485,0.021673,0.025314,-0.000912,0.000441,-0.000309,0.000384
Cold Female,0.000936,0.004459,0.015883,0.032439,-0.001027,0.000563,-0.000244,0.000492
Cold Male,-0.004334,0.003741,0.026496,0.027150,-0.000810,0.000475,-0.000366,0.000412
Age 0-10 All,-0.009569,0.004157,-0.102226,0.039809,0.000969,0.000492,-0.001995,0.000522
Age 0-10 Female,-0.012398,0.005772,-0.153088,0.055311,0.000736,0.000683,-0.002273,0.000725
Age 0-10 Male,-0.007514,0.005078,-0.065796,0.048577,0.001137,0.000601,-0.001792,0.000639
Age 11-60 All,-0.002244,0.002240,-0.014425,0.020919,-0.000235,0.000266,-0.000475,0.000279
Age 11-60 Female,-0.003177,0.002994,-0.022330,0.027787,-0.000598,0.000355,-0.000712,0.000372
Age 11-60 Male,-0.001597,0.002513,-0.008837,0.023579,0.000026,0.000300,-0.000308,0.000313
Age 60+All,-0.003604,0.003477,-0.016110,0.032188,-0.000690,0.000410,-0.000228,0.000432
Age 60+ Female,-0.000433,0.004133,-0.014732,0.038200,-0.000556,0.000489,-0.000195,0.000513
Age 60+ Male,-0.008439,0.004806,-0.018070,0.044609,-0.000892,0.000566,-0.000276,0.000598
All:LAG 14,-0.005159,0.002085,-0.037717,0.019430,-0.000257,0.000248,-0.000544,0.000260
Female,-0.004100,0.002608,-0.015495,0.024170,-0.000558,0.000309,-0.000423,0.000324
Male,-0.006019,0.002313,-0.056252,0.021643,-0.000007,0.000276,-0.000642,0.000288
Warm All,-0.007434,0.002517,-0.137780,0.031188,-0.000197,0.000291,-0.001012,0.000346
Warm Female,-0.008230,0.003034,-0.135969,0.037723,-0.000374,0.000349,-0.001053,0.000418
Warm Male,-0.006788,0.002921,-0.139143,0.036198,-0.000055,0.000338,-0.000976,0.000401
Cold All,-0.003208,0.003487,0.015715,0.025351,-0.000760,0.000441,-0.000057,0.000385
Cold Female,0.000229,0.004466,0.043771,0.032403,-0.001188,0.000563,0.000179,0.000494
Cold Male,-0.006153,0.003736,-0.008414,0.027209,-0.000386,0.000475,-0.000259,0.000412
Age 0-10 All,-0.006124,0.004151,-0.130006,0.039489,0.001317,0.000492,-0.001594,0.000521
Age 0-10 Female,-0.000645,0.005761,-0.158200,0.054801,0.002187,0.000682,-0.001141,0.000724
Age 0-10 Male,-0.010077,0.005072,-0.109772,0.048258,0.000690,0.000602,-0.001920,0.000637
Age 11-60 All,-0.004822,0.002240,-0.031052,0.020846,-0.000324,0.000266,-0.000455,0.000279
Age 11-60 Female,-0.004435,0.002997,0.007869,0.027692,-0.000852,0.000354,-0.000403,0.000372
Age 11-60 Male,-0.005091,0.002511,-0.059069,0.023481,0.000055,0.000300,-0.000491,0.000312
Age 60+All,-0.005802,0.003479,-0.005638,0.032117,-0.001016,0.000412,-0.000200,0.000432
Age 60+ Female,-0.004893,0.004134,-0.013702,0.038142,-0.001042,0.000490,-0.000163,0.000512
Age 60+ Male,-0.007194,0.004807,0.006939,0.044455,-0.000977,0.000568,-0.000256,0.000597
Air Pollutant:,AQHIX,,NO2,,O2H8,,SO2,
